[Host/IP]: ec2-34-215-106-99.us-west-2.compute.amazonaws.com - 34.215.106.99 || [Navegador]: Mozilla || [Date]: Sat Sep 30, 2017 3:04 am
[Host/IP]: msnbot-40-77-167-101.search.msn.com - 40.77.167.101 || [Navegador]: Mozilla || [Date]: Thu Oct 17, 2019 10:27 am
[Host/IP]: msnbot-40-77-167-220.search.msn.com - 40.77.167.220 || [Navegador]: Mozilla || [Date]: Fri Oct 25, 2019 6:32 am
[Host/IP]: 5.188.84.130 - 5.188.84.130 || [Navegador]: Mozilla || [Date]: Fri Oct 25, 2019 6:30 pm
[Host/IP]: msnbot-40-77-167-174.search.msn.com - 40.77.167.174 || [Navegador]: Desconocido || [Date]: Tue Oct 29, 2019 1:57 pm
[Host/IP]: msnbot-40-77-167-122.search.msn.com - 40.77.167.122 || [Navegador]: Mozilla || [Date]: Wed Oct 30, 2019 3:27 pm
[Host/IP]: msnbot-157-55-39-177.search.msn.com - 157.55.39.177 || [Navegador]: Mozilla || [Date]: Mon Nov 04, 2019 2:21 am
[Host/IP]: msnbot-157-55-39-226.search.msn.com - 157.55.39.226 || [Navegador]: Mozilla || [Date]: Tue Nov 05, 2019 11:29 pm
[Host/IP]: msnbot-207-46-13-177.search.msn.com - 207.46.13.177 || [Navegador]: Desconocido || [Date]: Fri Nov 08, 2019 7:56 pm
[Host/IP]: msnbot-157-55-39-234.search.msn.com - 157.55.39.234 || [Navegador]: Mozilla || [Date]: Sat Nov 09, 2019 1:39 pm
[Host/IP]: msnbot-157-55-39-108.search.msn.com - 157.55.39.108 || [Navegador]: Mozilla || [Date]: Mon Nov 11, 2019 3:54 pm
[Host/IP]: msnbot-207-46-13-178.search.msn.com - 207.46.13.178 || [Navegador]: Mozilla || [Date]: Wed Nov 13, 2019 3:07 pm
[Host/IP]: msnbot-207-46-13-197.search.msn.com - 207.46.13.197 || [Navegador]: Mozilla || [Date]: Sun Nov 17, 2019 4:24 pm
[Host/IP]: 52.247.3.15 - 52.247.3.15 || [Navegador]: Mozilla || [Date]: Tue Nov 19, 2019 4:58 pm
[Host/IP]: msnbot-207-46-13-148.search.msn.com - 207.46.13.148 || [Navegador]: Mozilla || [Date]: Sat Nov 23, 2019 2:25 pm
[Host/IP]: msnbot-207-46-13-34.search.msn.com - 207.46.13.34 || [Navegador]: Mozilla || [Date]: Wed Nov 27, 2019 4:02 pm
[Host/IP]: msnbot-40-77-167-205.search.msn.com - 40.77.167.205 || [Navegador]: Mozilla || [Date]: Fri Nov 29, 2019 3:19 pm
[Host/IP]: msnbot-40-77-167-181.search.msn.com - 40.77.167.181 || [Navegador]: Mozilla || [Date]: Mon Dec 02, 2019 9:28 am
[Host/IP]: google-proxy-64-233-172-30.google.com - 64.233.172.30 || [Navegador]: Mozilla || [Date]: Fri Dec 06, 2019 2:01 am
[Host/IP]: google-proxy-64-233-172-26.google.com - 64.233.172.26 || [Navegador]: Mozilla || [Date]: Fri Dec 06, 2019 2:02 am
[Host/IP]: msnbot-157-55-39-94.search.msn.com - 157.55.39.94 || [Navegador]: Mozilla || [Date]: Sat Dec 07, 2019 2:40 pm
[Host/IP]: msnbot-157-55-39-153.search.msn.com - 157.55.39.153 || [Navegador]: Mozilla || [Date]: Wed Dec 11, 2019 2:54 pm
[Host/IP]: msnbot-157-55-39-148.search.msn.com - 157.55.39.148 || [Navegador]: Mozilla || [Date]: Fri Dec 13, 2019 4:46 pm
[Host/IP]: msnbot-40-77-167-114.search.msn.com - 40.77.167.114 || [Navegador]: Mozilla || [Date]: Sun Dec 15, 2019 4:33 pm
[Host/IP]: dsl-189-176-190-58-dyn.prod-infinitum.com.mx - 189.176.190.58 || [Navegador]: Mozilla || [Date]: Tue Jan 28, 2020 4:09 pm
[Host/IP]: dsl-187-155-167-105-dyn.prod-infinitum.com.mx - 187.155.167.105 || [Navegador]: Mozilla || [Date]: Tue Feb 11, 2020 1:05 pm
[Host/IP]: 177.239.37.42.cable.dyn.cableonline.com.mx - 177.239.37.42 || [Navegador]: Mozilla || [Date]: Tue Feb 25, 2020 3:07 pm
[Host/IP]: customer-189-240-29-241.uninet-ide.com.mx - 189.240.29.241 || [Navegador]: Mozilla || [Date]: Fri Mar 27, 2020 9:41 pm
[Host/IP]: 200.68.141.47 - 200.68.141.47 || [Navegador]: Mozilla || [Date]: Tue Mar 31, 2020 7:38 pm
[Host/IP]: dsl-187-195-43-158-dyn.prod-infinitum.com.mx - 187.195.43.158 || [Navegador]: Mozilla || [Date]: Fri Apr 17, 2020 1:02 pm
[Host/IP]: customer-187-237-25-48.uninet-ide.com.mx - 187.237.25.48 || [Navegador]: Mozilla || [Date]: Wed Apr 22, 2020 1:10 am
[Host/IP]: customer-COL-194-49.megared.net.mx - 177.231.194.49 || [Navegador]: Mozilla || [Date]: Sun Apr 26, 2020 4:58 pm
[Host/IP]: dsl-187-133-78-199-dyn.prod-infinitum.com.mx - 187.133.78.199 || [Navegador]: Mozilla || [Date]: Tue Apr 28, 2020 8:19 pm
[Host/IP]: dsl-189-229-136-215-dyn.prod-infinitum.com.mx - 189.229.136.215 || [Navegador]: Mozilla || [Date]: Mon May 11, 2020 9:17 pm
[Host/IP]: dsl-189-171-53-145-dyn.prod-infinitum.com.mx - 189.171.53.145 || [Navegador]: Mozilla || [Date]: Wed May 13, 2020 4:59 am
[Host/IP]: dsl-187-133-210-36-dyn.prod-infinitum.com.mx - 187.133.210.36 || [Navegador]: Mozilla || [Date]: Thu May 14, 2020 4:09 am
[Host/IP]: dsl-187-173-171-72-dyn.prod-infinitum.com.mx - 187.173.171.72 || [Navegador]: Mozilla || [Date]: Sun May 31, 2020 2:44 pm
[Host/IP]: msnbot-40-77-167-221.search.msn.com - 40.77.167.221 || [Navegador]: Mozilla || [Date]: Fri Jun 05, 2020 7:30 am
[Host/IP]: msnbot-207-46-13-120.search.msn.com - 207.46.13.120 || [Navegador]: Mozilla || [Date]: Tue Jun 09, 2020 8:23 am
[Host/IP]: fixed-187-188-8-71.totalplay.net - 187.188.8.71 || [Navegador]: Mozilla || [Date]: Mon Jun 15, 2020 6:10 am
[Host/IP]: msnbot-40-77-167-204.search.msn.com - 40.77.167.204 || [Navegador]: Mozilla || [Date]: Wed Jun 17, 2020 12:34 am
[Host/IP]: msnbot-207-46-13-86.search.msn.com - 207.46.13.86 || [Navegador]: Mozilla || [Date]: Thu Jun 25, 2020 7:51 am
[Host/IP]: msnbot-157-55-39-78.search.msn.com - 157.55.39.78 || [Navegador]: Desconocido || [Date]: Tue Jun 30, 2020 7:04 am
[Host/IP]: msnbot-40-77-167-217.search.msn.com - 40.77.167.217 || [Navegador]: Desconocido || [Date]: Wed Jul 15, 2020 1:25 pm
[Host/IP]: msnbot-157-55-39-56.search.msn.com - 157.55.39.56 || [Navegador]: Desconocido || [Date]: Sun Jul 11, 2021 12:02 pm
[Host/IP]: msnbot-157-55-39-85.search.msn.com - 157.55.39.85 || [Navegador]: Mozilla || [Date]: Sat Jul 24, 2021 6:22 am
[Host/IP]: dup-201-111-22-244.prod-dial.com.mx - 201.111.22.244 || [Navegador]: Mozilla || [Date]: Mon Aug 23, 2021 5:08 am
[Host/IP]: pc20116223487.optele.net - 201.162.234.87 || [Navegador]: Mozilla || [Date]: Tue Aug 31, 2021 12:33 pm
[Host/IP]: customer-CGN-LEON-49-3.megared.net.mx - 177.228.49.3 || [Navegador]: Mozilla || [Date]: Mon Sep 20, 2021 1:51 am
[Host/IP]: 40.94.25.184 - 40.94.25.184 || [Navegador]: Mozilla || [Date]: Mon Oct 18, 2021 8:33 pm
[Host/IP]: dsl-189-251-34-131-dyn.prod-infinitum.com.mx - 189.251.34.131 || [Navegador]: Mozilla || [Date]: Wed Nov 24, 2021 4:39 pm
[Host/IP]: CableLink-187-160-103-137.PCs.InterCable.net - 187.160.103.137 || [Navegador]: Mozilla || [Date]: Thu Dec 02, 2021 3:41 pm
[Host/IP]: fixed-138-186-29-33.totalplay.net - 138.186.29.33 || [Navegador]: Mozilla || [Date]: Tue Dec 07, 2021 1:50 am
[Host/IP]: dsl-187-192-134-185-dyn.prod-infinitum.com.mx - 187.192.134.185 || [Navegador]: Mozilla || [Date]: Sat Jan 08, 2022 1:13 pm
[Host/IP]: 200.68.159.125 - 200.68.159.125 || [Navegador]: Mozilla || [Date]: Tue Jan 11, 2022 2:58 am
[Host/IP]: fixed-187-190-161-45.totalplay.net - 187.190.161.45 || [Navegador]: Mozilla || [Date]: Thu Feb 03, 2022 9:06 pm
[Host/IP]: dsl-187-212-20-130-dyn.prod-infinitum.com.mx - 187.212.20.130 || [Navegador]: Mozilla || [Date]: Tue Feb 08, 2022 5:35 pm
[Host/IP]: customer-NOG-CGN-69-236.megared.net.mx - 187.245.69.236 || [Navegador]: Mozilla || [Date]: Tue Mar 22, 2022 5:51 pm
[Host/IP]: customer-PUE-MCA-137-238.megared.net.mx - 189.195.137.238 || [Navegador]: Mozilla || [Date]: Thu Mar 24, 2022 7:16 pm
[Host/IP]: adsl-99-30-158-109.dsl.sfldmi.sbcglobal.net - 99.30.158.109 || [Navegador]: Mozilla || [Date]: Mon Mar 28, 2022 9:48 pm
[Host/IP]: msnbot-40-77-167-73.search.msn.com - 40.77.167.73 || [Navegador]: Desconocido || [Date]: Mon May 16, 2022 1:54 pm
